product_name,period,vintage,publication_date,price_type,price ,,,
Ethanol RIN,Current Year,2014,1/24/14,Low,0.335,,,
Ethanol RIN,Current Year,2014,1/24/14,High,0.345,,,
Ethanol RIN,Current Year,2014,1/24/14,Average,0.34,,,
Ethanol RIN,Current Year,2014,1/27/14,Low,0.335,,,
Ethanol RIN,Current Year,2014,1/27/14,High,0.34,,,
Ethanol RIN,Current Year,2014,1/27/14,Average,0.3375,,,
Ethanol RIN,Current Year,2014,1/28/14,Low,0.345,,,
Ethanol RIN,Current Year,2014,1/28/14,High,0.3475,,,
Ethanol RIN,Current Year,2014,1/28/14,Average,0.3463,,,
Ethanol RIN,Current Year,2014,1/29/14,Low,0.345,,,
Ethanol RIN,Current Year,2014,1/29/14,High,0.35,,,
Ethanol RIN,Current Year,2014,1/29/14,Average,0.3475,,,
Ethanol RIN,Current Year,2014,1/30/14,Low,0.355,,,
Ethanol RIN,Current Year,2014,1/30/14,High,0.39,,,
Ethanol RIN,Current Year,2014,1/30/14,Average,0.3725,,,
Ethanol RIN,Current Year,2014,1/31/14,Low,0.4,,,
Ethanol RIN,Current Year,2014,1/31/14,High,0.47,,,
Ethanol RIN,Current Year,2014,1/31/14,Average,0.435,,,
Ethanol RIN,Current Year,2014,2/3/14,Low,0.41,,,
Ethanol RIN,Current Year,2014,2/3/14,High,0.425,,,
Ethanol RIN,Current Year,2014,2/3/14,Average,0.4175,,,
Ethanol RIN,Current Year,2014,2/4/14,Low,0.425,,,
Ethanol RIN,Current Year,2014,2/4/14,High,0.45,,,
Ethanol RIN,Current Year,2014,2/4/14,Average,0.4375,,,
Ethanol RIN,Current Year,2014,2/5/14,Low,0.46,,,
Ethanol RIN,Current Year,2014,2/5/14,High,0.53,,,
Ethanol RIN,Current Year,2014,2/5/14,Average,0.495,,,
Ethanol RIN,Current Year,2014,2/6/14,Low,0.505,,,
Ethanol RIN,Current Year,2014,2/6/14,High,0.53,,,
Ethanol RIN,Current Year,2014,2/6/14,Average,0.5175,,,
Ethanol RIN,Current Year,2014,2/7/14,Low,0.515,,,
Ethanol RIN,Current Year,2014,2/7/14,High,0.535,,,
Ethanol RIN,Current Year,2014,2/7/14,Average,0.525,,,
Ethanol RIN,Current Year,2014,2/10/14,Low,0.525,,,
Ethanol RIN,Current Year,2014,2/10/14,High,0.54,,,
Ethanol RIN,Current Year,2014,2/10/14,Average,0.5325,,,
Ethanol RIN,Current Year,2014,2/11/14,Low,0.56,,,
Ethanol RIN,Current Year,2014,2/11/14,High,0.58,,,
Ethanol RIN,Current Year,2014,2/11/14,Average,0.57,,,
Ethanol RIN,Current Year,2014,2/12/14,Low,0.53,,,
Ethanol RIN,Current Year,2014,2/12/14,High,0.55,,,
Ethanol RIN,Current Year,2014,2/12/14,Average,0.54,,,
Ethanol RIN,Current Year,2014,2/13/14,Low,0.54,,,
Ethanol RIN,Current Year,2014,2/13/14,High,0.56,,,
Ethanol RIN,Current Year,2014,2/13/14,Average,0.55,,,
Ethanol RIN,Current Year,2014,2/14/14,Low,0.545,,,
Ethanol RIN,Current Year,2014,2/14/14,High,0.56,,,
Ethanol RIN,Current Year,2014,2/14/14,Average,0.5525,,,
Ethanol RIN,Current Year,2014,2/18/14,Low,0.54,,,
Ethanol RIN,Current Year,2014,2/18/14,High,0.56,,,
Ethanol RIN,Current Year,2014,2/18/14,Average,0.55,,,
Ethanol RIN,Current Year,2014,2/19/14,Low,0.54,,,
Ethanol RIN,Current Year,2014,2/19/14,High,0.56,,,
Ethanol RIN,Current Year,2014,2/19/14,Average,0.55,,,
Ethanol RIN,Current Year,2014,2/20/14,Low,0.54,,,
Ethanol RIN,Current Year,2014,2/20/14,High,0.55,,,
Ethanol RIN,Current Year,2014,2/20/14,Average,0.545,,,
Ethanol RIN,Current Year,2014,2/21/14,Low,0.545,,,
Ethanol RIN,Current Year,2014,2/21/14,High,0.555,,,
Ethanol RIN,Current Year,2014,2/21/14,Average,0.55,,,
Ethanol RIN,Current Year,2014,2/24/14,Low,0.54,,,
Ethanol RIN,Current Year,2014,2/24/14,High,0.555,,,
Ethanol RIN,Current Year,2014,2/24/14,Average,0.5475,,,
Ethanol RIN,Current Year,2014,2/25/14,Low,0.545,,,
Ethanol RIN,Current Year,2014,2/25/14,High,0.555,,,
Ethanol RIN,Current Year,2014,2/25/14,Average,0.55,,,
Ethanol RIN,Current Year,2014,2/26/14,Low,0.475,,,
Ethanol RIN,Current Year,2014,2/26/14,High,0.545,,,
Ethanol RIN,Current Year,2014,2/26/14,Average,0.51,,,
Ethanol RIN,Current Year,2014,2/27/14,Low,0.44,,,
Ethanol RIN,Current Year,2014,2/27/14,High,0.48,,,
Ethanol RIN,Current Year,2014,2/27/14,Average,0.46,,,
Ethanol RIN,Current Year,2014,2/28/14,Low,0.41,,,
Ethanol RIN,Current Year,2014,2/28/14,High,0.45,,,
Ethanol RIN,Current Year,2014,2/28/14,Average,0.43,,,
Ethanol RIN,Current Year,2014,3/3/14,Low,0.47,,,
Ethanol RIN,Current Year,2014,3/3/14,High,0.5,,,
Ethanol RIN,Current Year,2014,3/3/14,Average,0.485,,,
Ethanol RIN,Current Year,2014,3/4/14,Low,0.49,,,
Ethanol RIN,Current Year,2014,3/4/14,High,0.51,,,
Ethanol RIN,Current Year,2014,3/4/14,Average,0.5,,,
Ethanol RIN,Current Year,2014,3/5/14,Low,0.53,,,
Ethanol RIN,Current Year,2014,3/5/14,High,0.54,,,
Ethanol RIN,Current Year,2014,3/5/14,Average,0.535,,,
Ethanol RIN,Current Year,2014,3/6/14,Low,0.545,,,
Ethanol RIN,Current Year,2014,3/6/14,High,0.565,,,
Ethanol RIN,Current Year,2014,3/6/14,Average,0.555,,,
Ethanol RIN,Current Year,2014,3/7/14,Low,0.525,,,
Ethanol RIN,Current Year,2014,3/7/14,High,0.54,,,
Ethanol RIN,Current Year,2014,3/7/14,Average,0.5325,,,
Ethanol RIN,Current Year,2014,3/10/14,Low,0.505,,,
Ethanol RIN,Current Year,2014,3/10/14,High,0.54,,,
Ethanol RIN,Current Year,2014,3/10/14,Average,0.5225,,,
Ethanol RIN,Current Year,2014,3/11/14,Low,0.495,,,
Ethanol RIN,Current Year,2014,3/11/14,High,0.51,,,
Ethanol RIN,Current Year,2014,3/11/14,Average,0.5025,,,
Ethanol RIN,Current Year,2014,3/12/14,Low,0.495,,,
Ethanol RIN,Current Year,2014,3/12/14,High,0.51,,,
Ethanol RIN,Current Year,2014,3/12/14,Average,0.5025,,,
Ethanol RIN,Current Year,2014,3/13/14,Low,0.495,,,
Ethanol RIN,Current Year,2014,3/13/14,High,0.5,,,
Ethanol RIN,Current Year,2014,3/13/14,Average,0.4975,,,
Ethanol RIN,Current Year,2014,3/14/14,Low,0.45,,,
Ethanol RIN,Current Year,2014,3/14/14,High,0.485,,,
Ethanol RIN,Current Year,2014,3/14/14,Average,0.4675,,,
Ethanol RIN,Current Year,2014,3/17/14,Low,0.445,,,
Ethanol RIN,Current Year,2014,3/17/14,High,0.47,,,
Ethanol RIN,Current Year,2014,3/17/14,Average,0.4575,,,
Ethanol RIN,Current Year,2014,3/18/14,Low,0.45,,,
Ethanol RIN,Current Year,2014,3/18/14,High,0.46,,,
Ethanol RIN,Current Year,2014,3/18/14,Average,0.455,,,
Ethanol RIN,Current Year,2014,3/19/14,Low,0.47,,,
Ethanol RIN,Current Year,2014,3/19/14,High,0.49,,,
Ethanol RIN,Current Year,2014,3/19/14,Average,0.48,,,
Ethanol RIN,Current Year,2014,3/20/14,Low,0.48,,,
Ethanol RIN,Current Year,2014,3/20/14,High,0.52,,,
Ethanol RIN,Current Year,2014,3/20/14,Average,0.5,,,
Ethanol RIN,Current Year,2014,3/21/14,Low,0.495,,,
Ethanol RIN,Current Year,2014,3/21/14,High,0.51,,,
Ethanol RIN,Current Year,2014,3/21/14,Average,0.5025,,,
Ethanol RIN,Current Year,2014,3/24/14,Low,0.505,,,
Ethanol RIN,Current Year,2014,3/24/14,High,0.525,,,
Ethanol RIN,Current Year,2014,3/24/14,Average,0.515,,,
Ethanol RIN,Current Year,2014,3/25/14,Low,0.505,,,
Ethanol RIN,Current Year,2014,3/25/14,High,0.52,,,
Ethanol RIN,Current Year,2014,3/25/14,Average,0.5125,,,
Ethanol RIN,Current Year,2014,3/26/14,Low,0.505,,,
Ethanol RIN,Current Year,2014,3/26/14,High,0.515,,,
Ethanol RIN,Current Year,2014,3/26/14,Average,0.51,,,
Ethanol RIN,Current Year,2014,3/27/14,Low,0.5,,,
Ethanol RIN,Current Year,2014,3/27/14,High,0.51,,,
Ethanol RIN,Current Year,2014,3/27/14,Average,0.505,,,
Ethanol RIN,Current Year,2014,3/28/14,Low,0.485,,,
Ethanol RIN,Current Year,2014,3/28/14,High,0.5,,,
Ethanol RIN,Current Year,2014,3/28/14,Average,0.4925,,,
Ethanol RIN,Current Year,2014,3/31/14,Low,0.5,,,
Ethanol RIN,Current Year,2014,3/31/14,High,0.51,,,
Ethanol RIN,Current Year,2014,3/31/14,Average,0.505,,,
Ethanol RIN,Current Year,2014,4/1/14,Low,0.5,,,
Ethanol RIN,Current Year,2014,4/1/14,High,0.51,,,
Ethanol RIN,Current Year,2014,4/1/14,Average,0.505,,,
Ethanol RIN,Current Year,2014,4/2/14,Low,0.48,,,
Ethanol RIN,Current Year,2014,4/2/14,High,0.52,,,
Ethanol RIN,Current Year,2014,4/2/14,Average,0.5,,,
Ethanol RIN,Current Year,2014,4/3/14,Low,0.47,,,
Ethanol RIN,Current Year,2014,4/3/14,High,0.48,,,
Ethanol RIN,Current Year,2014,4/3/14,Average,0.475,,,
Ethanol RIN,Current Year,2014,4/4/14,Low,0.47,,,
Ethanol RIN,Current Year,2014,4/4/14,High,0.48,,,
Ethanol RIN,Current Year,2014,4/4/14,Average,0.475,,,
Ethanol RIN,Current Year,2014,4/7/14,Low,0.475,,,
Ethanol RIN,Current Year,2014,4/7/14,High,0.485,,,
Ethanol RIN,Current Year,2014,4/7/14,Average,0.48,,,
Ethanol RIN,Current Year,2014,4/8/14,Low,0.475,,,
Ethanol RIN,Current Year,2014,4/8/14,High,0.48,,,
Ethanol RIN,Current Year,2014,4/8/14,Average,0.4775,,,
Ethanol RIN,Current Year,2014,4/9/14,Low,0.475,,,
Ethanol RIN,Current Year,2014,4/9/14,High,0.48,,,
Ethanol RIN,Current Year,2014,4/9/14,Average,0.4775,,,
Ethanol RIN,Current Year,2014,4/10/14,Low,0.46,,,
Ethanol RIN,Current Year,2014,4/10/14,High,0.47,,,
Ethanol RIN,Current Year,2014,4/10/14,Average,0.465,,,
Ethanol RIN,Current Year,2014,4/11/14,Low,0.43,,,
Ethanol RIN,Current Year,2014,4/11/14,High,0.45,,,
Ethanol RIN,Current Year,2014,4/11/14,Average,0.44,,,
Ethanol RIN,Current Year,2014,4/14/14,Low,0.41,,,
Ethanol RIN,Current Year,2014,4/14/14,High,0.43,,,
Ethanol RIN,Current Year,2014,4/14/14,Average,0.42,,,
Ethanol RIN,Current Year,2014,4/15/14,Low,0.415,,,
Ethanol RIN,Current Year,2014,4/15/14,High,0.425,,,
Ethanol RIN,Current Year,2014,4/15/14,Average,0.42,,,
Ethanol RIN,Current Year,2014,4/16/14,Low,0.415,,,
Ethanol RIN,Current Year,2014,4/16/14,High,0.43,,,
Ethanol RIN,Current Year,2014,4/16/14,Average,0.4225,,,
Ethanol RIN,Current Year,2014,4/17/14,Low,0.42,,,
Ethanol RIN,Current Year,2014,4/17/14,High,0.425,,,
Ethanol RIN,Current Year,2014,4/17/14,Average,0.4225,,,
Ethanol RIN,Current Year,2014,4/21/14,Low,0.415,,,
Ethanol RIN,Current Year,2014,4/21/14,High,0.425,,,
Ethanol RIN,Current Year,2014,4/21/14,Average,0.42,,,
Ethanol RIN,Current Year,2014,4/22/14,Low,0.415,,,
Ethanol RIN,Current Year,2014,4/22/14,High,0.425,,,
Ethanol RIN,Current Year,2014,4/22/14,Average,0.42,,,
Ethanol RIN,Current Year,2014,4/23/14,Low,0.42,,,
Ethanol RIN,Current Year,2014,4/23/14,High,0.43,,,
Ethanol RIN,Current Year,2014,4/23/14,Average,0.425,,,
Ethanol RIN,Current Year,2014,4/24/14,Low,0.41,,,
Ethanol RIN,Current Year,2014,4/24/14,High,0.42,,,
Ethanol RIN,Current Year,2014,4/24/14,Average,0.415,,,
Ethanol RIN,Current Year,2014,4/25/14,Low,0.4,,,
Ethanol RIN,Current Year,2014,4/25/14,High,0.415,,,
Ethanol RIN,Current Year,2014,4/25/14,Average,0.4075,,,
Ethanol RIN,Current Year,2014,4/28/14,Low,0.38,,,
Ethanol RIN,Current Year,2014,4/28/14,High,0.3975,,,
Ethanol RIN,Current Year,2014,4/28/14,Average,0.3888,,,
Ethanol RIN,Current Year,2014,4/29/14,Low,0.38,,,
Ethanol RIN,Current Year,2014,4/29/14,High,0.385,,,
Ethanol RIN,Current Year,2014,4/29/14,Average,0.3825,,,
Ethanol RIN,Current Year,2014,4/30/14,Low,0.38,,,
Ethanol RIN,Current Year,2014,4/30/14,High,0.395,,,
Ethanol RIN,Current Year,2014,4/30/14,Average,0.3875,,,
Ethanol RIN,Current Year,2014,5/1/14,Low,0.395,,,
Ethanol RIN,Current Year,2014,5/1/14,High,0.41,,,
Ethanol RIN,Current Year,2014,5/1/14,Average,0.4025,,,
Ethanol RIN,Current Year,2014,5/2/14,Low,0.4,,,
Ethanol RIN,Current Year,2014,5/2/14,High,0.41,,,
Ethanol RIN,Current Year,2014,5/2/14,Average,0.405,,,
Ethanol RIN,Current Year,2014,5/5/14,Low,0.41,,,
Ethanol RIN,Current Year,2014,5/5/14,High,0.4175,,,
Ethanol RIN,Current Year,2014,5/5/14,Average,0.4138,,,
Ethanol RIN,Current Year,2014,5/6/14,Low,0.415,,,
Ethanol RIN,Current Year,2014,5/6/14,High,0.42,,,
Ethanol RIN,Current Year,2014,5/6/14,Average,0.4175,,,
Ethanol RIN,Current Year,2014,5/7/14,Low,0.41,,,
Ethanol RIN,Current Year,2014,5/7/14,High,0.42,,,
Ethanol RIN,Current Year,2014,5/7/14,Average,0.415,,,
Ethanol RIN,Current Year,2014,5/8/14,Low,0.41,,,
Ethanol RIN,Current Year,2014,5/8/14,High,0.42,,,
Ethanol RIN,Current Year,2014,5/8/14,Average,0.415,,,
Ethanol RIN,Current Year,2014,5/9/14,Low,0.42,,,
Ethanol RIN,Current Year,2014,5/9/14,High,0.43,,,
Ethanol RIN,Current Year,2014,5/9/14,Average,0.425,,,
Ethanol RIN,Current Year,2014,5/12/14,Low,0.44,,,
Ethanol RIN,Current Year,2014,5/12/14,High,0.45,,,
Ethanol RIN,Current Year,2014,5/12/14,Average,0.445,,,
Ethanol RIN,Current Year,2014,5/13/14,Low,0.4475,,,
Ethanol RIN,Current Year,2014,5/13/14,High,0.46,,,
Ethanol RIN,Current Year,2014,5/13/14,Average,0.4538,,,
Ethanol RIN,Current Year,2014,5/14/14,Low,0.455,,,
Ethanol RIN,Current Year,2014,5/14/14,High,0.46,,,
Ethanol RIN,Current Year,2014,5/14/14,Average,0.4575,,,
Ethanol RIN,Current Year,2014,5/15/14,Low,0.46,,,
Ethanol RIN,Current Year,2014,5/15/14,High,0.465,,,
Ethanol RIN,Current Year,2014,5/15/14,Average,0.4625,,,
Ethanol RIN,Current Year,2014,5/16/14,Low,0.4675,,,
Ethanol RIN,Current Year,2014,5/16/14,High,0.485,,,
Ethanol RIN,Current Year,2014,5/16/14,Average,0.4763,,,
Ethanol RIN,Current Year,2014,5/19/14,Low,0.475,,,
Ethanol RIN,Current Year,2014,5/19/14,High,0.5,,,
Ethanol RIN,Current Year,2014,5/19/14,Average,0.4875,,,
Ethanol RIN,Current Year,2014,5/20/14,Low,0.465,,,
Ethanol RIN,Current Year,2014,5/20/14,High,0.485,,,
Ethanol RIN,Current Year,2014,5/20/14,Average,0.475,,,
Ethanol RIN,Current Year,2014,5/21/14,Low,0.46,,,
Ethanol RIN,Current Year,2014,5/21/14,High,0.47,,,
Ethanol RIN,Current Year,2014,5/21/14,Average,0.465,,,
Ethanol RIN,Current Year,2014,5/22/14,Low,0.455,,,
Ethanol RIN,Current Year,2014,5/22/14,High,0.47,,,
Ethanol RIN,Current Year,2014,5/22/14,Average,0.4625,,,
Ethanol RIN,Current Year,2014,5/23/14,Low,0.455,,,
Ethanol RIN,Current Year,2014,5/23/14,High,0.475,,,
Ethanol RIN,Current Year,2014,5/23/14,Average,0.465,,,
Ethanol RIN,Current Year,2014,5/27/14,Low,0.465,,,
Ethanol RIN,Current Year,2014,5/27/14,High,0.47,,,
Ethanol RIN,Current Year,2014,5/27/14,Average,0.4675,,,
Ethanol RIN,Current Year,2014,5/28/14,Low,0.465,,,
Ethanol RIN,Current Year,2014,5/28/14,High,0.475,,,
Ethanol RIN,Current Year,2014,5/28/14,Average,0.47,,,
Ethanol RIN,Current Year,2014,5/29/14,Low,0.45,,,
Ethanol RIN,Current Year,2014,5/29/14,High,0.465,,,
Ethanol RIN,Current Year,2014,5/29/14,Average,0.4575,,,
Ethanol RIN,Current Year,2014,5/30/14,Low,0.45,,,
Ethanol RIN,Current Year,2014,5/30/14,High,0.46,,,
Ethanol RIN,Current Year,2014,5/30/14,Average,0.455,,,
Ethanol RIN,Current Year,2014,6/2/14,Low,0.45,,,
Ethanol RIN,Current Year,2014,6/2/14,High,0.4575,,,
Ethanol RIN,Current Year,2014,6/2/14,Average,0.4538,,,
Ethanol RIN,Current Year,2014,6/3/14,Low,0.4475,,,
Ethanol RIN,Current Year,2014,6/3/14,High,0.4525,,,
Ethanol RIN,Current Year,2014,6/3/14,Average,0.45,,,
Ethanol RIN,Current Year,2014,6/4/14,Low,0.43,,,
Ethanol RIN,Current Year,2014,6/4/14,High,0.44,,,
Ethanol RIN,Current Year,2014,6/4/14,Average,0.435,,,
Ethanol RIN,Current Year,2014,6/5/14,Low,0.43,,,
Ethanol RIN,Current Year,2014,6/5/14,High,0.44,,,
Ethanol RIN,Current Year,2014,6/5/14,Average,0.435,,,
Ethanol RIN,Current Year,2014,6/6/14,Low,0.43,,,
Ethanol RIN,Current Year,2014,6/6/14,High,0.44,,,
Ethanol RIN,Current Year,2014,6/6/14,Average,0.435,,,
Ethanol RIN,Current Year,2014,6/9/14,Low,0.44,,,
Ethanol RIN,Current Year,2014,6/9/14,High,0.45,,,
Ethanol RIN,Current Year,2014,6/9/14,Average,0.445,,,
Ethanol RIN,Current Year,2014,6/10/14,Low,0.46,,,
Ethanol RIN,Current Year,2014,6/10/14,High,0.4695,,,
Ethanol RIN,Current Year,2014,6/10/14,Average,0.4648,,,
Ethanol RIN,Current Year,2014,6/11/14,Low,0.45,,,
Ethanol RIN,Current Year,2014,6/11/14,High,0.465,,,
Ethanol RIN,Current Year,2014,6/11/14,Average,0.4575,,,
Ethanol RIN,Current Year,2014,6/12/14,Low,0.445,,,
Ethanol RIN,Current Year,2014,6/12/14,High,0.46,,,
Ethanol RIN,Current Year,2014,6/12/14,Average,0.4525,,,
Ethanol RIN,Current Year,2014,6/13/14,Low,0.445,,,
Ethanol RIN,Current Year,2014,6/13/14,High,0.4525,,,
Ethanol RIN,Current Year,2014,6/13/14,Average,0.4488,,,
Ethanol RIN,Current Year,2014,6/16/14,Low,0.455,,,
Ethanol RIN,Current Year,2014,6/16/14,High,0.465,,,
Ethanol RIN,Current Year,2014,6/16/14,Average,0.46,,,
Ethanol RIN,Current Year,2014,6/17/14,Low,0.4575,,,
Ethanol RIN,Current Year,2014,6/17/14,High,0.4625,,,
Ethanol RIN,Current Year,2014,6/17/14,Average,0.46,,,
Ethanol RIN,Current Year,2014,6/18/14,Low,0.46,,,
Ethanol RIN,Current Year,2014,6/18/14,High,0.5,,,
Ethanol RIN,Current Year,2014,6/18/14,Average,0.48,,,
Ethanol RIN,Current Year,2014,6/19/14,Low,0.49,,,
Ethanol RIN,Current Year,2014,6/19/14,High,0.57,,,
Ethanol RIN,Current Year,2014,6/19/14,Average,0.53,,,
Ethanol RIN,Current Year,2014,6/20/14,Low,0.575,,,
Ethanol RIN,Current Year,2014,6/20/14,High,0.64,,,
Ethanol RIN,Current Year,2014,6/20/14,Average,0.6075,,,
Ethanol RIN,Current Year,2014,6/23/14,Low,0.545,,,
Ethanol RIN,Current Year,2014,6/23/14,High,0.6,,,
Ethanol RIN,Current Year,2014,6/23/14,Average,0.5725,,,
Ethanol RIN,Current Year,2014,6/24/14,Low,0.55,,,
Ethanol RIN,Current Year,2014,6/24/14,High,0.56,,,
Ethanol RIN,Current Year,2014,6/24/14,Average,0.555,,,
Ethanol RIN,Current Year,2014,6/25/14,Low,0.51,,,
Ethanol RIN,Current Year,2014,6/25/14,High,0.54,,,
Ethanol RIN,Current Year,2014,6/25/14,Average,0.525,,,
Ethanol RIN,Current Year,2014,6/26/14,Low,0.53,,,
Ethanol RIN,Current Year,2014,6/26/14,High,0.545,,,
Ethanol RIN,Current Year,2014,6/26/14,Average,0.5375,,,
Ethanol RIN,Current Year,2014,6/27/14,Low,0.545,,,
Ethanol RIN,Current Year,2014,6/27/14,High,0.555,,,
Ethanol RIN,Current Year,2014,6/27/14,Average,0.55,,,
Ethanol RIN,Current Year,2014,6/30/14,Low,0.53,,,
Ethanol RIN,Current Year,2014,6/30/14,High,0.56,,,
Ethanol RIN,Current Year,2014,6/30/14,Average,0.545,,,
Ethanol RIN,Current Year,2014,7/1/14,Low,0.51,,,
Ethanol RIN,Current Year,2014,7/1/14,High,0.54,,,
Ethanol RIN,Current Year,2014,7/1/14,Average,0.525,,,
Ethanol RIN,Current Year,2014,7/2/14,Low,0.51,,,
Ethanol RIN,Current Year,2014,7/2/14,High,0.52,,,
Ethanol RIN,Current Year,2014,7/2/14,Average,0.515,,,
Ethanol RIN,Current Year,2014,7/3/14,Low,0.515,,,
Ethanol RIN,Current Year,2014,7/3/14,High,0.52,,,
Ethanol RIN,Current Year,2014,7/3/14,Average,0.5175,,,
Ethanol RIN,Current Year,2014,7/7/14,Low,0.52,,,
Ethanol RIN,Current Year,2014,7/7/14,High,0.54,,,
Ethanol RIN,Current Year,2014,7/7/14,Average,0.53,,,
Ethanol RIN,Current Year,2014,7/8/14,Low,0.515,,,
Ethanol RIN,Current Year,2014,7/8/14,High,0.525,,,
Ethanol RIN,Current Year,2014,7/8/14,Average,0.52,,,
Ethanol RIN,Current Year,2014,7/9/14,Low,0.495,,,
Ethanol RIN,Current Year,2014,7/9/14,High,0.515,,,
Ethanol RIN,Current Year,2014,7/9/14,Average,0.505,,,
Ethanol RIN,Current Year,2014,7/10/14,Low,0.475,,,
Ethanol RIN,Current Year,2014,7/10/14,High,0.48,,,
Ethanol RIN,Current Year,2014,7/10/14,Average,0.4775,,,
Ethanol RIN,Current Year,2014,7/11/14,Low,0.475,,,
Ethanol RIN,Current Year,2014,7/11/14,High,0.49,,,
Ethanol RIN,Current Year,2014,7/11/14,Average,0.4825,,,
Ethanol RIN,Current Year,2014,7/14/14,Low,0.485,,,
Ethanol RIN,Current Year,2014,7/14/14,High,0.495,,,
Ethanol RIN,Current Year,2014,7/14/14,Average,0.49,,,
Ethanol RIN,Current Year,2014,7/15/14,Low,0.48,,,
Ethanol RIN,Current Year,2014,7/15/14,High,0.485,,,
Ethanol RIN,Current Year,2014,7/15/14,Average,0.4825,,,
Ethanol RIN,Current Year,2014,7/16/14,Low,0.48,,,
Ethanol RIN,Current Year,2014,7/16/14,High,0.49,,,
Ethanol RIN,Current Year,2014,7/16/14,Average,0.485,,,
Ethanol RIN,Current Year,2014,7/17/14,Low,0.51,,,
Ethanol RIN,Current Year,2014,7/17/14,High,0.52,,,
Ethanol RIN,Current Year,2014,7/17/14,Average,0.515,,,
Ethanol RIN,Current Year,2014,7/18/14,Low,0.51,,,
Ethanol RIN,Current Year,2014,7/18/14,High,0.52,,,
Ethanol RIN,Current Year,2014,7/18/14,Average,0.515,,,
Ethanol RIN,Current Year,2014,7/21/14,Low,0.51,,,
Ethanol RIN,Current Year,2014,7/21/14,High,0.52,,,
Ethanol RIN,Current Year,2014,7/21/14,Average,0.515,,,
Ethanol RIN,Current Year,2014,7/22/14,Low,0.515,,,
Ethanol RIN,Current Year,2014,7/22/14,High,0.52,,,
Ethanol RIN,Current Year,2014,7/22/14,Average,0.5175,,,
Ethanol RIN,Current Year,2014,7/23/14,Low,0.515,,,
Ethanol RIN,Current Year,2014,7/23/14,High,0.52,,,
Ethanol RIN,Current Year,2014,7/23/14,Average,0.5175,,,
Ethanol RIN,Current Year,2014,7/24/14,Low,0.5025,,,
Ethanol RIN,Current Year,2014,7/24/14,High,0.5175,,,
Ethanol RIN,Current Year,2014,7/24/14,Average,0.51,,,
Ethanol RIN,Current Year,2014,7/25/14,Low,0.52,,,
