product_name,price_type,yearID,monthID,AVG(price)
"Cellulosic RIN",Average,2016,6,1.7756818181818184
"Cellulosic RIN",Average,2016,7,1.8297500000000002
"Cellulosic RIN",Average,2016,8,1.8799999999999997
"Ethanol RIN",Average,2014,1,0.32798095238095243
"Ethanol RIN",Average,2014,2,0.5173684210526316
"Ethanol RIN",Average,2014,3,0.5016666666666667
"Ethanol RIN",Average,2014,4,0.43934761904761904
"Ethanol RIN",Average,2014,5,0.44732857142857146
"Ethanol RIN",Average,2014,6,0.4904714285714286
"Ethanol RIN",Average,2014,7,0.5114772727272728
"Ethanol RIN",Average,2014,8,0.5095333333333333
"Ethanol RIN",Average,2014,9,0.46937142857142855
"Ethanol RIN",Average,2014,10,0.46823043478260873
"Ethanol RIN",Average,2014,11,0.5023111111111112
"Ethanol RIN",Average,2014,12,0.6444954545454545
"Ethanol RIN",Average,2015,1,0.719375
"Ethanol RIN",Average,2015,2,0.7150052631578946
"Ethanol RIN",Average,2015,3,0.68495
"Ethanol RIN",Average,2015,4,0.7049
"Ethanol RIN",Average,2015,5,0.70464
"Ethanol RIN",Average,2015,6,0.4381954545454547
"Ethanol RIN",Average,2015,7,0.4348954545454546
"Ethanol RIN",Average,2015,8,0.38894761904761904
"Ethanol RIN",Average,2015,9,0.33454285714285714
"Ethanol RIN",Average,2015,10,0.37114545454545456
"Ethanol RIN",Average,2015,11,0.4249473684210525
"Ethanol RIN",Average,2015,12,0.7121045454545454
"Ethanol RIN",Average,2016,1,0.6694263157894739
"Ethanol RIN",Average,2016,2,0.721075
"Ethanol RIN",Average,2016,3,0.7230772727272726
"Ethanol RIN",Average,2016,4,0.7319809523809524
"Ethanol RIN",Average,2016,5,0.7614380952380952
"Ethanol RIN",Average,2016,6,0.843990909090909
"Ethanol RIN",Average,2016,7,0.9505250000000001
"Ethanol RIN",Average,2016,8,0.91328
